ObjectName,RA,DEC,Redshift,RedshiftFlag
SSTSL2J031958.53+413101.3,49.99375,41.51722,0.215132,
SSTSL2J031956.07+412909.5,49.98375,41.48594,0.230599,
ABELL0426:[CGW2003]52,49.98375,41.54408,0.136741,
SSTSL2J031936.08+413246.3,49.90042,41.54650,0.170868,
GALEXMSCJ031926.77+413303.4,49.86208,41.55142,0.236697,
ABELL0426:[CGW2003]27,49.82333,41.49936,0.418889,
ABELL0426:[CGW2003]25,49.81625,41.50564,0.234562,
ABELL0426:[CGW2003]24,49.81292,41.48239,0.216082,
2MASXJ03194485+4123551,49.93683,41.39864,0.135237,SPEC
GALEXASCJ031946.16+413735.7,49.94333,41.62611,1.307000,
ABELL0426:[CGW2003]19,49.78958,41.52525,0.225245,
ABELL0426:[CGW2003]18,49.78792,41.54492,0.156461,
2MASSJ03190509+4128126,49.77076,41.46979,0.051851,SPEC
2MASXJ03200094+4120273,50.00400,41.34097,0.136160,SPEC
2MASSJ03204657+4130435,50.19427,41.51209,0.080256,SPEC
ABELL0426:[CGW2003]05,49.73250,41.39481,0.268802,
SDSSJ032026.40+412052.5,50.11015,41.34791,0.980682,SPEC
2MASXJ03193195+4118151,49.88317,41.30422,0.115960,SPEC
SDSSJ031936.68+414447.2,49.90287,41.74646,0.716494,SPEC
2MASSJ03204249+4141408,50.17760,41.69471,0.085739,SPEC
WHLJ032042.2+414342,50.17582,41.72840,0.588600,PHOT
2MASXJ03201053+4114443,50.04383,41.24558,0.084499,SPEC
SDSSJ031827.08+414304.7,49.61283,41.71810,1.256515,SPEC
WHLJ031807.9+412455,49.53304,41.41525,0.212500,PHOT
2MASSJ03183962+4146189,49.66500,41.77225,0.135083,SPEC
2MASXJ03180371+4119227,49.51542,41.32306,0.066219,SPEC
WHLJ032033.8+410935,50.14085,41.15984,0.506400,PHOT
2MASXJ03191184+4107570,49.79937,41.13253,0.048134,SPEC
2MASSJ03213073+4146058,50.37797,41.76864,0.049406,SPEC
WHLJ032134.6+414751,50.39398,41.79749,0.187400,PHOT
2MASSJ03172625+4120076,49.35937,41.33552,0.059228,SPEC
2MASSJ03172055+4141105,49.33511,41.68630,0.133985,SPEC
2MASXJ03172020+4119484,49.33421,41.33008,0.059332,SPEC
2MASSJ03171221+4122521,49.30091,41.38108,0.059397,SPEC
2MASXJ03170818+4142162,49.28413,41.70456,0.134077,SPEC
2MASXJ03221984+4115189,50.58279,41.25528,0.040445,SPEC
WHLJ031654.8+412718,49.22840,41.45487,0.250100,PHOT
2MASSJ03173188+4109560,49.38267,41.16572,0.136022,SPEC
2MASSJ03165939+4119332,49.24803,41.32554,0.131947,SPEC
2MASXJ03174202+4106565,49.42504,41.11564,0.219750,SPEC
2MASXJ03170273+4116322,49.26129,41.27564,0.134315,SPEC
WHLJ031721.9+410824,49.34114,41.14005,0.302600,PHOT
2MASXJ03170622+4149382,49.27600,41.82739,0.174209,SPEC
2MASXJ03171327+4109562,49.30525,41.16553,0.135247,SPEC
2MASSJ03163671+4135440,49.15299,41.59557,0.146514,SPEC
2MASXJ03225995+4137567,50.74992,41.63236,0.132979,SPEC
2MASXJ03230446+4128047,50.76867,41.46792,0.048587,SPEC
WHLJ032231.3+415202,50.63058,41.86715,0.253200,PHOT
2MASSJ03165339+4112386,49.22248,41.21077,0.129781,SPEC
2MASXJ03182179+4204372,49.59079,42.07697,0.081032,SPEC
2MASSJ03164587+4115008,49.19113,41.25023,0.130495,SPEC
WHLJ031645.9+411501,49.19112,41.25025,0.131600,SPEC
2MASXJ03171803+4105422,49.32512,41.09514,0.134700,SPEC
2MASXJ03163860+4115585,49.16096,41.26628,0.146172,SPEC
2MASXJ03222727+4156149,50.61367,41.93750,0.093919,SPEC
2MASSJ03162035+4119561,49.08481,41.33230,0.118797,SPEC
2MASXJ03233016+4133565,50.87554,41.56578,0.048957,SPEC
WHLJ031607.6+412113,49.03178,41.35369,0.167000,PHOT
2MASXJ03212782+4052199,50.36604,40.87222,0.052054,SPEC
2MASXJ03205256+4049185,50.21887,40.82183,0.085294,SPEC
2MASXJ03163000+4153056,49.12508,41.88483,0.133991,SPEC
2MASXJ03214584+4053310,50.44096,40.89194,0.099039,SPEC
2MASXJ03233737+4121585,50.90579,41.36639,0.048023,SPEC
2MASXJ03160735+4148487,49.03058,41.81356,0.083346,SPEC
2MASXJ03234843+4137135,50.95192,41.62044,0.134142,SPEC
2MASSJ03194241+4045072,49.92663,40.75194,0.059177,SPEC
2MASXJ03162544+4156127,49.10608,41.93681,0.113476,SPEC
2MASXJ03233837+4150195,50.90979,41.83906,0.048673,SPEC
2MASXJ03153728+4139432,48.90525,41.66200,0.146624,SPEC
WHLJ032157.4+421221,50.48911,42.20592,0.134000,SPEC
2MASXJ03215738+4212220,50.48908,42.20606,0.134020,SPEC
2MASXJ03182645+4044517,49.61021,40.74775,0.140307,SPEC
WHLJ032408.2+412937,51.03401,41.49350,0.140200,PHOT
2MASXJ03152698+4128074,48.86238,41.46867,0.133898,SPEC
WHLJ031637.6+420500,49.15681,42.08347,0.364200,PHOT
WHLJ031557.0+410708,48.98768,41.11885,0.226900,PHOT
2MASXJ03201435+4041012,50.05983,40.68372,0.048044,SPEC
